Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
,Aug,17-18,17/8/10,,,YouGov,Sun,44.0,2.0,36.0,-1.0,12.0,-2.0,8.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,38.0,3.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,18-19,18/8/10,,,YouGov,Sun,41.0,-3.0,37.0,1.0,14.0,2.0,4.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,38.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,19-20,19/8/10,22,,YouGov,ST,41.0,0.0,38.0,1.0,12.0,-2.0,3.0,-1.0,Internet,,,,,,,53.0,36.0,17.0,,,,43.0,43.0,0.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,40.0,39.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,22-23,22/8/10,,,YouGov,Sun,41.0,0.0,39.0,1.0,12.0,0.0,2.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,0.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,23-24,23/8/10,,,YouGov,Sun,41.0,0.0,38.0,-1.0,13.0,1.0,3.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,41.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,24-25,24/8/10,,,YouGov,Sun,42.0,1.0,37.0,-1.0,12.0,-1.0,5.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,38.0,3.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,25-26,25/8/10,,,YouGov,Sun,42.0,0.0,37.0,0.0,12.0,0.0,5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,41.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,26-27,26/8/10,29,,YouGov,ST,41.0,-1.0,37.0,0.0,13.0,1.0,4.0,-1.0,Internet,,,,,,,59.0,32.0,27.0,,,,47.0,41.0,6.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,41.0,40.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,30-31,30/8/10,,,YouGov,Sun,43.0,2.0,38.0,1.0,11.0,-2.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,39.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,31-1,31/8/10,,,YouGov,Sun,43.0,0.0,37.0,-1.0,12.0,1.0,6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,42.0,-4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,1-2,1/9/10,,,YouGov,Sun,42.0,-1.0,37.0,0.0,12.0,0.0,5.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,41.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,2-3,2/9/10,,,YouGov,ST,42.0,0.0,37.0,0.0,12.0,0.0,5.0,0.0,Internet,,,,,,,54.0,36.0,18.0,,,,45.0,43.0,2.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,40.0,42.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,3-5,3/9/10,7,,ComRes,Ind,38.0,-1.0,34.0,1.0,18.0,3.0,4.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,5-6,5/9/10,,,YouGov,Sun,42.0,0.0,37.0,0.0,13.0,1.0,5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,0.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,6-7,6/9/10,,,YouGov,Sun,42.0,0.0,38.0,1.0,13.0,0.0,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,39.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,7-8,7/9/10,,,YouGov,Sun,42.0,0.0,38.0,0.0,12.0,-1.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,41.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,8-9,8/9/10,,,YouGov,Sun,42.0,0.0,37.0,-1.0,14.0,2.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,40.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,9-10,9/9/10,12,,YouGov,ST,42.0,0.0,38.0,1.0,14.0,0.0,4.0,-1.0,Internet,,,,,,,57.0,33.0,24.0,,,,48.0,38.0,10.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,42.0,40.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,10-12,10/9/10,14,,Populus,TT,39.0,0.0,37.0,4.0,14.0,-4.0,2.0,-4.0,Phone,,,,,,,48.6,,,39.2,,,43.8,,,,,,,,,Rate on 0-100 scale,,,,,,,,,,,,,,,,,
