Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Nov,14-17,14/11/15,19,,Ipsos MORI,ES,41.0,5.0,34.0,2.0,7.0,-3.0,7.0,-5.0,4.0,1.0,7.0,3.0,Phone,,,,40.0,55.0,-15.0,37.0,40.0,-3.0,18.0,32.0,-14.0,33.0,45.0,-12.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,36.0,58.0,-22.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Nov,16-17,16/11/15,18,,YouGov,TT,,,,,,,,,,,,,Internet,,,,44.0,48.0,-4.0,30.0,52.0,-22.0,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Nov,16-17,16/11/15,18,,Survation,Leave.EU,37.0,,30.0,,6.0,,16.0,,3.0,,7.0,,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,18-20,18/11/15,22,,ComRes,IoS/SM,42.0,0.0,27.0,-2.0,7.0,0.0,15.0,2.0,3.0,0.0,15.0,2.0,Internet,,,,38.0,42.0,-4.0,22.0,50.0,-28.0,9.0,16.0,-7.0,,,,,,,Please indicate whether you have a favourable or unfavourable view of ,,,,,,,,,,,,,,,,,
,Nov,20-22,20/11/15,24,,ComRes,DM,40.0,2.0,29.0,-4.0,8.0,0.0,11.0,1.0,3.0,0.0,11.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,30-1,30/11/15,2,,YouGov,TT,41.0,4.0,30.0,-1.0,6.0,-1.0,16.0,-1.0,3.0,1.0,11.0,5.0,Internet,,,,47.0,47.0,0.0,24.0,65.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,9-11,9/12/15,12,,ComRes,IoS/SM,40.0,-2.0,29.0,2.0,7.0,0.0,16.0,1.0,3.0,0.0,11.0,-4.0,Internet,,,,35.0,47.0,-12.0,25.0,46.0,-21.0,,,,,,,,,,… is turning out to be a good…,,,,,,,,,,,,,,,,,
,Dec,11-13,11/12/15,17,,ComRes,DM,37.0,-3.0,33.0,4.0,7.0,-1.0,11.0,0.0,5.0,2.0,4.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,11-16,11/12/15,,,Sky,,,,,,,,,,,,,,Internet,,,,45.0,49.0,-4.0,28.0,58.0,-30.0,15.0,46.0,-31.0,27.0,52.0,-25.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Dec,12-14,12/12/15,16,,Ipsos MORI,ES,38.0,-3.0,31.0,-3.0,9.0,2.0,9.0,2.0,6.0,2.0,7.0,0.0,Phone,,,,41.0,55.0,-14.0,33.0,50.0,-17.0,24.0,31.0,-7.0,33.0,48.0,-15.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,38.0,55.0,-17.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Dec,15-18,15/12/15,18,,Opinium,Ob,38.0,1.0,30.0,-2.0,5.0,0.0,16.0,1.0,5.0,1.0,8.0,3.0,Internet,,,,40.0,46.0,-6.0,27.0,52.0,-25.0,12.0,35.0,-23.0,27.0,46.0,-19.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,41.0,20.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Dec,15-18,15/12/15,18,,Opinium,Ob,,,,,,,,,,,,,Internet,,,,42.0,47.0,-5.0,28.0,56.0,-28.0,14.0,33.0,-19.0,28.0,49.0,-21.0,,,,Would you say you have a favourable or unfavourable view of…,,,,,,,,,,,,,,,,,
,Dec,17-18,17/12/16,4,,YouGov,TT,39.0,-2.0,29.0,-1.0,6.0,0.0,17.0,1.0,3.0,0.0,10.0,-1.0,Internet,,,,44.0,50.0,-6.0,28.0,60.0,-32.0,18.0,31.0,-13.0,31.0,49.0,-18.0,,,,Do you think X is doing well or badly as… ,49.0,23.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Dec,18-20,18/12/15,21,,ICM,Gu,39.0,0.0,34.0,1.0,7.0,0.0,10.0,-2.0,3.0,0.0,5.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Jan,13-15,13/1/16,16,,ComRes,IoS/SM,40.0,0.0,29.0,0.0,7.0,0.0,16.0,0.0,3.0,0.0,11.0,0.0,Internet,,,,42.0,40.0,2.0,22.0,56.0,-34.0,,,,,,,,,,… is/would make a good Prime Minister …,,,,,,,,,,,,,,,,,
,Jan,14-15,14/1/16,19,,YouGov,,,,,,,,,,,,,,Internet,,,,43.0,49.0,-6.0,24.0,63.0,-39.0,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Jan,15-16,15/1/16,17,,Survation,MoS,37.0,0.0,30.0,0.0,7.0,1.0,16.0,0.0,3.0,0.0,7.0,0.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
