Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,May,24-26,24/5/17,27,,ComRes,IoS/SM,46.0,-2.0,34.0,4.0,8.0,-2.0,5.0,0.0,2.0,-1.0,12.0,-6.0,Internet,,,,,,,,,,,,,,,,,,,,51.0,30.0,,,,,,,,,,,,,,,
,May,24-30,23/5/17,31,,YouGov,,41.0,,38.0,,9.0,,4.0,,2.0,,3.0,,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,25-26,25/5/17,27,,YouGov,ST,43.0,0.0,36.0,-2.0,9.0,-1.0,4.0,0.0,2.0,1.0,7.0,2.0,Internet,,,,49.0,40.0,9.0,30.0,58.0,-28.0,20.0,46.0,-26.0,,,,,,,Do you think that X is doing well or badly as Y?,,,,,,,,,,,,,,,,,
,May,25-30,25/5/17,31,,Kantar TNS,,43.0,1.0,33.0,-1.0,11.0,2.0,4.0,0.0,3.0,0.0,10.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,38.0,23.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,May,25-31,24/5/17,1,,YouGov,,42.0,1.0,38.0,0.0,9.0,0.0,3.0,-1.0,2.0,0.0,4.0,1.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,26-27,26/5/17,30,,Survation,GMB,43.0,0.0,37.0,3.0,8.0,0.0,4.0,0.0,1.0,-1.0,6.0,-3.0,Phone,UK,,,,,,,,,,,,,,,,,,,53.0,30.0,,,Which of the following party leaders to you think would make the best PM?,,,,,,,,,,,,
,May,26-29,26/5/17,30,,ICM,Gu,45.0,-1.0,33.0,1.0,8.0,0.0,5.0,0.0,3.0,1.0,12.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,26-29,26/5/17,31,,Qriously,,43.0,-1.0,38.0,9.0,6.0,-3.0,5.0,-3.0,2.0,-2.0,5.0,-10.0,Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,26-1,26/5/17,1,,Panelbase, ,44.0,-4.0,36.0,3.0,7.0,0.0,5.0,1.0,2.0,0.0,8.0,-7.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,26-1,26/5/17,2,,YouGov,,42.0,0.0,38.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-2,27/5/17,3,,YouGov,,42.0,0.0,38.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,29-30,29/5/17,,,YouGov,,,,,,,,,,,,,,Internet,,,,42.0,47.0,-5.0,36.0,50.0,-14.0,17.0,49.0,-32.0,9.0,55.0,-46.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,May,29-4,29/5/17,5,,YouGov,,42.0,0.0,38.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,30-31,30/5/17,1,,YouGov,TT,42.0,-1.0,39.0,3.0,7.0,-2.0,4.0,0.0,2.0,0.0,3.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,43.0,30.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,May,30-31,30/5/17,4,,Opinium,Ob,43.0,-2.0,37.0,2.0,6.0,-1.0,5.0,0.0,2.0,0.0,6.0,-4.0,Internet,,,,43.0,37.0,6.0,31.0,43.0,-12.0,14.0,39.0,-25.0,10.0,49.0,-39.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,26.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,30-1,30/5/17,2,,Ipsos MORI,ES,45.0,-4.0,40.0,6.0,7.0,0.0,2.0,0.0,2.0,-1.0,5.0,-10.0,Phone,,,,43.0,50.0,-7.0,39.0,50.0,-11.0,25.0,44.0,-19.0,18.0,55.0,-37.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,50.0,35.0,,,Who do you think would make the most capable Prime Minister?,38.0,53.0,-15.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,May,30-5,30/5/17,,,SurveyMonkey,Sun,43.0,-1.0,38.0,2.0,6.0,0.0,4.0,-1.0,2.0,1.0,5.0,-3.0,Internet,,,,47.0,52.0,-5.0,39.0,59.0,-20.0,,,,,,,,,,Are you satisfied or disastified with the way X is doing his/her job as Y?,55.0,41.0,,,"Between the two, who do you think would be the better PM?",,,,,,,,,,,,
,May,30-5,30/5/17,6,,YouGov,,42.0,0.0,38.0,0.0,9.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,31-1,31/5/17,4,,ORB,STel  ,45.0,1.0,36.0,-2.0,8.0,1.0,4.0,-1.0,,,9.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,31-1,31/5/17,4,,Norstat,S Express,39.0,-3.0,35.0,9.0,8.0,-2.0,6.0,-2.0,3.0,-3.0,4.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,31-2,31/5/17,4,,ComRes,Ios/SM,47.0,1.0,35.0,1.0,8.0,0.0,4.0,-1.0,1.0,-1.0,12.0,0.0,Internet,,,,39.0,42.0,-3.0,32.0,47.0,-15.0,14.0,38.0,-24.0,8.0,45.0,-37.0,15.0,23.0,-8.0,Do you have a favourable or unfavourable view of…,49.0,34.0,,,"Thinking about next week's General Election on June 8th, for each of the following pairs of statements, please indicate which comes closest to your opinion… Jeremy Corbyn, not Theresa May, would make the
best Prime Minister after the election / Theresa May, not Jeremy Corbyn, would make the
best Prime Minister after the election
",,,,,,,,,,,,
,May,31-2,31/5/17,4,,ICM,Sun on Sunday,45.0,0.0,34.0,1.0,9.0,1.0,5.0,0.0,3.0,0.0,11.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,31-6,31/5/17,,,YouGov,,42.0,0.0,38.0,0.0,9.0,0.0,3.0,-1.0,2.0,0.0,4.0,0.0,Internet,Seat prediction polling data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,1-2,1/6/17,4,,YouGov,ST,42.0,0.0,38.0,-1.0,9.0,2.0,4.0,0.0,2.0,0.0,4.0,1.0,Internet,,,,42.0,47.0,-5.0,42.0,44.0,-2.0,,,,,,,,,,Do you think that X is doing well or badly as Y?,,,,,,,,,,,,,,,,,
,Jun,1-7,1/6/17,7,,Kantar TNS,,43.0,0.0,38.0,5.0,7.0,-4.0,4.0,0.0,2.0,-1.0,5.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,35.0,29.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,Jun,2-3,2/6/17,6,,Survation,GMB,42.0,-1.0,40.0,3.0,6.0,-2.0,3.0,-1.0,,,2.0,-4.0,Phone,UK,,,,,,,,,,,,,,,,,,,50.0,36.0,,,Which of the following party leaders to you think would make the best PM?,,,,,,,,,,,,
,Jun,2-4,2/6/17,5,,ICM,Gu,45.0,0.0,34.0,0.0,8.0,-1.0,5.0,0.0,3.0,0.0,11.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,2-5,2/6/17,,,BMG,,,,,,,,,,,,,,Internet,,,,42.0,43.0,-1.0,33.0,45.0,-12.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Jun,2-7,2/6/17,7,,Panelbase,,44.0,0.0,36.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,3,3/6/17,4,,Survation,MoS,40.0,-6.0,39.0,5.0,8.0,0.0,5.0,2.0,,,1.0,-11.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,4-6,4/6/17,6,,Opinium,,43.0,0.0,36.0,-1.0,8.0,2.0,5.0,0.0,2.0,0.0,7.0,1.0,Internet,,,,44.0,39.0,5.0,35.0,42.0,-7.0,18.0,39.0,-21.0,12.0,49.0,-37.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,29.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Jun,4-6,4/6/17,7,,SurveyMonkey,Sun,42.0,-1.0,38.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,4.0,-1.0,Internet,,,,45.0,53.0,-8.0,39.0,59.0,-20.0,,,,,,,,,,Are you satisfied or disastified with the way X is doing his/her job as Y?,53.0,43.0,,,"Between the two, who do you think would be the better PM?",,,,,,,,,,,,
,Jun,4-7,4/6/17,7,,Qriously,,39.0,-4.0,41.0,3.0,8.0,2.0,4.0,-1.0,1.0,-1.0,-2.0,-7.0,Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,5-7,5/6/17,7,,ComRes,Ind,44.0,-3.0,34.0,-1.0,9.0,1.0,5.0,1.0,2.0,1.0,10.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,39.0,,,"Thinking about next week's General Election on June 8th, for each of the following pairs of statements, please indicate which comes closest to your opinion… Jeremy Corbyn, not Theresa May, would make the
best Prime Minister after the election / Theresa May, not Jeremy Corbyn, would make the
best Prime Minister after the election
",,,,,,,,,,,,
,Jun,5-7,5/6/17,7,,YouGov,TT,42.0,0.0,35.0,-3.0,10.0,1.0,5.0,1.0,2.0,0.0,7.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,43.0,32.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Jun,6-7,6/6/17,7,,ICM,Gu,46.0,1.0,34.0,0.0,7.0,-1.0,5.0,0.0,2.0,-1.0,12.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,6-7,6/6/17,8,,BMG,The Herald,46.0,,33.0,,8.0,,5.0,,3.0,,13.0,,Phone and internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,6-7,6/6/17,7,,Survation,,41.0,-1.0,40.0,0.0,8.0,2.0,2.0,-1.0,2.0,,1.0,-1.0,Phone,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,6-7,6/6/17,8,,Ipsos MORI,ES,44.0,-1.0,36.0,-4.0,7.0,0.0,4.0,2.0,2.0,0.0,8.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,47.0,36.0,,,Who do you think would make the most capable Prime Minister?,,,,,,,,,,,,
,Jun,7-8,7/6/17,,,Sky,,,,,,,,,,,,,,Internet,,,,40.0,53.0,-13.0,50.0,44.0,6.0,20.0,58.0,-38.0,14.0,62.0,-48.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,,Result,,43.4,,41.0,,7.6,,1.9,,1.7,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
