Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,
,Jun,13,,MORI,DE,46.0,1.0,45.0,-1.0,6.0,0.0,1.0,2.0,,,,,
,Jul,,5,NOP,DM,46.5,-2.6,44.4,2.1,6.3,0.0,2.1,-4.7,,,,,
,Jul,11,,MORI,DE,49.0,3.0,41.0,-4.0,6.0,0.0,8.0,7.0,,,,,
,Jul,,,MORI,DE,48.0,-1.0,42.0,1.0,6.0,0.0,6.0,-2.0,,,,,
,Jul,12-17,,Gallup,DT,45.0,-0.5,43.0,-2.5,8.5,2.5,2.0,2.0,,,,,
,Aug,,9,NOP,DM,42.4,-4.1,48.5,4.1,6.3,0.0,-6.1,-8.2,,,,,
,Aug,14,,MORI,DE,47.0,-1.0,44.0,2.0,6.0,0.0,3.0,-3.0,,,,,
,Aug,9-14,,Gallup,DT,43.5,-1.5,47.5,4.5,6.0,-2.5,-4.0,-6.0,,,,,
,Sep,,5,NOP,DM,48.0,5.6,45.8,-2.7,4.8,-1.5,2.2,8.3,,,,,
,Sep,4,,MORI,DE,47.0,0.0,45.0,1.0,5.0,-1.0,2.0,-1.0,,,,,
,Sep,6-11,,Gallup,DT,49.5,6.0,42.5,-5.0,6.0,0.0,7.0,11.0,,,,,
,Sep,11,,MORI,DE,48.0,1.0,42.0,-3.0,8.0,3.0,6.0,4.0,,,,,
,Oct,,12,NOP,DM,44.2,-3.8,48.5,2.7,4.7,-0.1,-4.3,-6.5,,,,,
,Oct,17-23,,Gallup,DT,42.0,-7.5,47.5,5.0,7.5,1.5,-5.5,-12.5,,,,,
,Nov,8,,MORI,DE,47.0,-1.0,46.0,4.0,5.0,-3.0,1.0,-5.0,,,,,
,Nov,,9,NOP,DM,44.8,0.6,46.8,-1.7,6.2,1.5,-2.0,2.3,,,,,
,Nov,8-13,,Gallup,DT,43.0,1.0,48.0,0.5,6.5,-1.0,-5.0,0.5,,,,,
,Dec,5-11,,Gallup,DT,48.0,5.0,42.5,-5.5,6.0,-0.5,5.5,10.5,,,,,
,Dec,7-13,7,NOP,DM,44.7,-0.1,47.9,1.1,4.6,-1.6,-3.2,-1.2,,,,,
1979,Jan,,4,NOP,DM,42.5,-2.2,49.1,1.2,5.7,1.1,-6.6,-3.4,,,,,
,Jan,10-15,,Gallup,DT,49.0,1.0,41.5,-1.0,6.0,0.0,7.5,2.0,,,,,
,Jan,30-1,6,MORI,DE,55.0,8.0,36.0,-10.0,6.0,1.0,19.0,18.0,,,,,
,Feb,3,,NOP,DM,53.0,10.5,35.0,-14.1,8.0,2.3,18.0,24.6,,,,,
,Feb,,8,NOP,DM,49.0,-4.0,40.7,5.7,7.4,-0.6,8.3,-9.7,,,,,
,Feb,7-12,,Gallup,DT,53.0,4.0,33.0,-8.5,11.0,5.0,20.0,12.5,,,,,
,Mar,3-5,,MORI,DE,52.0,-3.0,39.0,3.0,7.0,1.0,13.0,-6.0,,,,,
,Mar,7-12,,Gallup,DT,51.5,-1.5,37.0,4.0,8.5,-2.5,14.5,-5.5,,,,,
,Mar,21-28,,Gallup,DT,47.5,-4.0,40.5,3.5,9.0,0.5,7.0,-7.5,,,,,
,Mar,28-2,5,Gallup,DT,49.0,1.5,38.5,-2.0,9.0,0.0,10.5,3.5,,,,,
,Mar,29,29,MORI,Thames,51.0,-1.0,42.0,3.0,5.0,-2.0,9.0,-4.0,,,,,
,Mar,30-31,,Marplan,LWT,55.0,,40.0,,4.0,,15.0,,,Panel survey,,,
,Apr,1-2,4,MORI,DE,51.0,0.0,38.0,-4.0,10.0,5.0,13.0,4.0,,,,,
,Apr,2-3,6,NOP,DM,48.0,-1.0,42.0,1.3,8.0,0.7,6.0,-2.3,,,,,
,Apr,3-4,8,Research Srv,Ob,54.5,,33.5,,9.0,,21.0,,,,,,
,Apr,4-6,8,MORI,ST ,50.0,,40.0,,10.0,,10.0,,,Panel survey,,,
,Apr,6-7,,Marplan,LWT,54.0,-1.0,41.0,1.0,5.0,1.0,13.0,-2.0,,Panel survey,,,
,Apr,6-9,12,Gallup,DT,50.0,1.0,40.0,1.5,8.0,-1.0,10.0,-0.5,,,,,
,Apr,8-9,11,MORI,DE,49.0,-2.0,39.0,1.0,10.0,0.0,10.0,-3.0,,,,,
,Apr,10-11,15,Research Srv,Ob,53.0,-1.5,37.0,3.5,8.0,-1.0,16.0,-5.0,,,,,
,Apr,13-14,17,NOP,DM,48.0,0.0,42.0,0.0,8.0,0.0,6.0,0.0,,,,,
,Apr,14-18,22,Gallup,STel,47.5,-2.5,42.0,2.0,9.0,1.0,5.5,-4.5,,,,,
,Apr,17,19,MORI,DE,50.0,1.0,38.0,-1.0,10.0,0.0,12.0,2.0,,,,,
,Apr,17-18,20,Marplan,Sun,51.0,,41.0,,6.0,,10.0,,,,,,
,Apr,17-18,22,Research Srv,Ob,54.0,1.0,34.0,-3.0,9.5,1.5,20.0,4.0,,,,,
,Apr,17-19,22,MORI,ST ,49.0,-1.0,40.0,0.0,9.0,-1.0,9.0,-1.0,,Panel survey,,,
,Apr,18-19,23,Marplan,Sun,50.0,-1.0,40.0,-1.0,9.0,3.0,10.0,0.0,,,,,
,Apr,19-21,25,Gallup,DT,46.5,-1.0,41.5,-0.5,10.0,1.0,5.0,-0.5,,,,,
,Apr,20-21,,Marplan,LWT,53.0,-1.0,41.0,0.0,6.0,1.0,12.0,-1.0,,Panel survey,,,
,Apr,21-23,25,MORI,DE,46.0,-4.0,40.0,2.0,11.0,1.0,6.0,6.0,,,,,
,Apr,23-25,29,Gallup,STel,48.0,1.5,40.0,-1.5,10.5,0.5,8.0,3.0,,,,,
,Apr,24-25,29,Research Srv,Ob,49.5,-4.5,38.0,4.0,10.0,0.5,11.5,-8.5,,,,,
,Apr,24-26,29,MORI,ST ,47.0,-2.0,42.0,2.0,9.0,0.0,5.0,-4.0,,Panel survey,,,
,Apr,25,27,Marplan,Sun,48.0,-2.0,40.0,0.0,10.0,1.0,8.0,-2.0,,,,,
