Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Nov,12-13,12/11/08,16,ComRes,IoS,43.0,4.0,44,42,2,32.0,1.0,30,35,-5,12.0,-4.0,13,12,1,11.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,19-20,19/11/08,23,ICM,SMirror,42.0,-1.0,,,,31.0,1.0,,,,19.0,1.0,,,,11.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,24-25,24/11/08,26,YouGov,DT,40.0,-1.0,37,42,-5,36.0,0.0,39,33,6,14.0,0.0,15,14,1,4.0,-1.0,Internet,,,,,,,,,,,,47.0,34.0,13.0,32.0,59.0,-27.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Nov,25-26,25/11/08,29,ICM,GU,45.0,3.0,,,,30.0,-1.0,,,,18.0,-1.0,,,,15.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,27-28,27/11/08,30,MORI,OB,43.0,3.0,39,47,-8,32.0,-5.0,34,30,4,15.0,3.0,14,17,-3,11.0,8.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,28-30,28/11/08,2,ComRes,Ind,37.0,-6.0,42,33,9,36.0,4.0,33,39,-6,17.0,5.0,15,20,-5,1.0,-10.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,5-7,5/12/08,8,Populus,TT,39.0,-2.0,,,,35.0,0.0,,,,17.0,1.0,,,,4.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,10-11,10/12/08,14,ComRes,IoS,37.0,0.0,39,36,3,36.0,0.0,33,39,-6,14.0,-3.0,17,12,5,1.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,11-12,11/12/08,14,YouGov,ST,41.0,1.0,41,41,0,35.0,-1.0,36,34,2,15.0,1.0,14,16,-2,6.0,2.0,Internet,,,,,,,,,,,,46.0,39.0,7.0,38.0,55.0,-17.0,28.0,34.0,-6.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Dec,10-11,10/12/08,15,MORI,Mirror,41.0,-2.0,41,41,0,36.0,4.0,34,39,-5,11.0,-4.0,13,8,5,5.0,-6.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,12-14,12/12/08,17,ICM,GU,38.0,-7.0,,,,33.0,3.0,,,,19.0,1.0,,,,5.0,-10.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,12-14,12/12/08,17,MORI,,39.0,-2.0,41,36,5,35.0,-1.0,35,36,-1,15.0,4.0,14,17,-3,4.0,-1.0,Phone,Certain to vote,,,,,,,,,,,43.0,38.0,5.0,38.0,54.0,-16.0,35.0,28.0,7.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Dec,16-18,16/12/08,20,YouGov,DT,42.0,1.0,41,43,-2,35.0,0.0,35,34,1,14.0,-1.0,14,14,0,7.0,1.0,Internet,,,,,,,,,,,,43.0,35.0,8.0,30.0,60.0,-30.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Dec,19-21,19/12/08,23,ComRes,Ind,39.0,2.0,41,37,4,34.0,-2.0,30,38,-8,16.0,2.0,16,16,0,5.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Jan,7-8,7/1/09,9,YouGov,Sun,41.0,-1.0,39,43,-4,34.0,-1.0,36,33,3,15.0,1.0,15,15,0,7.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,9-11,9/1/09,13,Populus,TT,43.0,4.0,,,,33.0,-2.0,,,,15.0,-2.0,,,,10.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,14-15,14/1/09,17,ComRes,IoS,41.0,2.0,41,41,0,32.0,-2.0,35,29,6,15.0,-1.0,12,19,-7,9.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,15-16,15/1/09,17,YouGov,ST,45.0,4.0,44,46,-2,32.0,-2.0,34,30,4,14.0,-1.0,14,15,-1,13.0,6.0,Internet,,,,,,,,,,,,50.0,38.0,12.0,35.0,60.0,-25.0,30.0,35.0,-5.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Jan,16-18,16/1/09,,MORI,,44.0,5.0,45,43,2,30.0,-5.0,31,26,5,17.0,2.0,14,20,-6,14.0,10.0,Phone,Certain to vote,,,,,,,,,,,44.0,38.0,6.0,33.0,59.0,-26.0,34.0,25.0,9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Jan,21-22,21/1/09,26,ComRes,Ind,43.0,2.0,44,41,3,28.0,-4.0,28,28,0,16.0,1.0,14,18,-4,15.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,23-25,23/1/09,27,ICM,GU,44.0,6.0,,,,32.0,-1.0,,,,16.0,-3.0,,,,12.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,27-29,27/1/09,30,YouGov,DT,43.0,-2.0,41,44,-3,32.0,0.0,33,31,2,16.0,2.0,15,17,-2,11.0,-2.0,Internet,,,,,,,,,,,,46.0,34.0,12.0,27.0,63.0,-36.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Feb,4-5,4/2/09,8,ICM,STel,40.0,-4.0,,,,28.0,-4.0,,,,22.0,6.0,,,,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,6-8,6/2/09,10,Populus,TT,42.0,-1.0,,,,28.0,-5.0,,,,18.0,3.0,,,,14.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,11-12,11/2/09,15,ComRes,IoS,41.0,-2.0,42,40,2,25.0,-3.0,23,27,-4,22.0,6.0,19,25,-6,16.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,12-13,12/2/09,15,YouGov,ST,44.0,1.0,41,46,-5,32.0,0.0,34,31,3,14.0,-2.0,14,15,-1,12.0,1.0,Internet,,,,,,,,,,,,50.0,38.0,12.0,31.0,65.0,-34.0,35.0,31.0,4.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Feb,13-15,13/2/09,17,MORI,,48.0,4.0,47,49,-2,28.0,-2.0,29,27,2,17.0,0.0,17,17,0,20.0,6.0,Phone,Certain to vote,,,,,,,,,,,43.0,34.0,9.0,26.0,64.0,-38.0,35.0,26.0,9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Feb,20-22,20/2/09,24,ICM,GU,42.0,2.0,,,,30.0,2.0,,,,18.0,-4.0,,,,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,26-26,24/2/09,27,YouGov,DT,41.0,-3.0,37,46,-9,31.0,-1.0,33,29,4,15.0,1.0,15,16,-1,10.0,-2.0,Internet,,,,,,,,,,,,46.0,32.0,14.0,25.0,65.0,-40.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Feb,27-1,27/2/09,3,ComRes,Ind,44.0,3.0,45,42,3,28.0,3.0,26,31,-5,17.0,-5.0,17,17,0,16.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,6-8,6/3/09,9,Populus,TT,42.0,0.0,,,,30.0,2.0,,,,19.0,1.0,,,,12.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,12-13,12/3/09,15,YouGov,ST,41.0,0.0,38,45,-7,31.0,0.0,33,29,4,17.0,2.0,17,16,1,10.0,0.0,Internet,,,,,,,,,,,,59.0,30.0,29.0,35.0,60.0,-25.0,36.0,32.0,4.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Mar,13-15,13/3/09,17,MORI,,42.0,-6.0,41,44,-3,32.0,4.0,35,27,8,14.0,-3.0,13,16,-3,10.0,-10.0,Phone,Certain to vote,,,,,,,,,,,52.0,30.0,22.0,34.0,59.0,-25.0,38.0,26.0,12.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Mar,13-15,13/3/09,18,ICM,GU,42.0,0.0,,,,30.0,0.0,,,,20.0,2.0,,,,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,18-19,18/3/09,22,ComRes,IoS,41.0,-3.0,41,41,0,30.0,2.0,29,30,-1,17.0,0.0,16,18,-2,11.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,24-26,24/3/09,27,YouGov,DT,41.0,0.0,39,43,-4,31.0,0.0,33,28,5,17.0,0.0,17,18,-1,10.0,0.0,Internet,,,,,,,,,,,,49.0,28.0,21.0,23.0,65.0,-42.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Mar,25-26,25/3/09,29,ICM,STel,44.0,2.0,,,,31.0,1.0,,,,18.0,-2.0,,,,13.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,27-29,27/3/09,31,ComRes,Ind,40.0,-1.0,42,38,4,28.0,-2.0,27,29,-2,18.0,1.0,16,19,-3,12.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,3-4,3/4/09,5,YouGov,ST,41.0,0.0,38,43,-5,34.0,3.0,35,32,3,16.0,-1.0,15,17,-2,7.0,-3.0,Internet,,,,,,,,,,,,56.0,31.0,25.0,41.0,53.0,-12.0,33.0,31.0,2.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Apr,3-6,3/4/09,7,Populus,TT,43.0,1.0,,,,30.0,0.0,,,,18.0,-1.0,,,,13.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-16,15/4/09,19,Mkting Sciences,STel,43.0,-1.0,,,,26.0,-5.0,,,,21.0,3.0,,,,17.0,,Phone,Same methodology as ICM,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,16-18,16/4/09,19,BPIX,MoS,45.0,,,,,26.0,,,,,17.0,,,,,19.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17-19,17/4/09,21,ICM,GU,40.0,-4.0,,,,30.0,-1.0,,,,19.0,1.0,,,,10.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17-19,17/3/09,21,MORI,,41.0,-1.0,38,44,-6,28.0,-4.0,31,25,6,22.0,8.0,20,25,-5,13.0,3.0,Phone,Certain to vote,,,,,,,,,,,52.0,29.0,23.0,32.0,60.0,-28.0,39.0,25.0,14.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Apr,22-23,22/4/09,24,YouGov,DT,45.0,4.0,42,49,-7,27.0,-7.0,29,25,4,18.0,2.0,17,19,-2,18.0,11.0,Internet,,,,,,,,,,,,56.0,26.0,30.0,23.0,69.0,-46.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Apr,23-24,23/4/09,26,YouGov,People,45.0,0.0,43,47,-4,27.0,0.0,27,27,0,17.0,-1.0,16,18,-2,18.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,24-26,24/4/09,28,ComRes,Ind,45.0,5.0,46,44,2,26.0,-2.0,27,25,2,17.0,-1.0,16,18,-2,19.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,1-4,1/5/09,,ICM,TPA,41.0,1.0,,,,27.0,-3.0,,,,21.0,2.0,,,,14.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,7-8,7/5/09,10,BPIX,MoS,45.0,0.0,,,,23.0,-3.0,,,,17.0,,,,,22.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,7-8,7/5/09,10,YouGov,ST,43.0,-2.0,41,46,-5,27.0,0.0,27,26,1,18.0,1.0,18,19,-1,16.0,-2.0,Internet,,,,,,,,,,,,57.0,33.0,24.0,25.0,71.0,-46.0,43.0,28.0,15.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,May,8-10,8/5/09,12,Populus,TT,39.0,-4.0,,,,26.0,-4.0,,,,22.0,4.0,,,,13.0,0.0,Phone,,,,,,,,,,,,,,5.39,,,4.47,,,4.71,How good a leader (on a 10-point scale) is…,,,,,,
,May,13-14,13/5/09,15,YouGov,Sun,41.0,-2.0,40,43,-3,22.0,-5.0,21,24,-3,19.0,1.0,19,18,1,19.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-14,13/5/09,17,ComRes,Ios,40.0,-5.0,40,39,1,21.0,-5.0,20,22,-2,18.0,0.0,15,20,-5,19.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,14-16,14/5/09,17,BPIX,MoS,42.0,-3.0,,,,20.0,-3.0,,,,15.0,-2.0,,,,22.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,14-16,14/5/09,18,YouGov,DT,39.0,-2.0,37,40,-3,23.0,1.0,23,23,0,19.0,0.0,19,19,0,16.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,15-17,15/5/09,19,ICM,GU,39.0,-2.0,,,,28.0,1.0,,,,20.0,-1.0,,,,11.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,19-20,19/5/09,22,Populus,ITV,39.0,-1.0,,,,27.0,1.0,,,,17.0,-5.0,,,,12.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-28,27/5/09,30,Populus,TT,41.0,2.0,,,,21.0,-6.0,,,,15.0,-2.0,,,,20.0,8.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-28,27/5/09,31,ICM,STel,40.0,1.0,,,,22.0,-6.0,,,,25.0,5.0,,,,18.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-29,27/5/09,1,YouGov,DT,39.0,0.0,38,41,-3,22.0,-1.0,24,19,5,18.0,-1.0,18,19,-1,17.0,1.0,Internet,,,,,,,,,,,,53.0,26.0,27.0,17.0,73.0,-56.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,May,29-31,29/5/09,1,MORI,,40.0,-1.0,38,42,-4,18.0,-10.0,17,20,-3,18.0,-4.0,17,19,-2,22.0,11.0,Phone,Certain to vote,,,,,,,,,,,51.0,35.0,16.0,26.0,69.0,-43.0,45.0,23.0,22.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,May,29-31,29/5/09,2,ComRes,Ind,30.0,-10.0,28,33,-5,22.0,1.0,24,20,4,18.0,0.0,16,20,-4,8.0,-11.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,29-4,29/5/09,8,YouGov,C4,37.0,-2.0,,,,22.0,0.0,,,,19.0,1.0,,,,15.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,2-3,2/6/09,4,YouGov,DT,37.0,0.0,35,39,-4,21.0,-1.0,22,21,1,19.0,0.0,20,18,2,16.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,5-7,5/6/09,9,ComRes,Ind,38.0,8.0,39,37,2,22.0,0.0,17,27,-10,20.0,2.0,23,18,5,16.0,8.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,9-10,9/6/09,12,Populus,TT,36.0,-5.0,,,,24.0,3.0,,,,19.0,4.0,,,,12.0,-8.0,Phone,,,,,,,,,,,,,,5.33,,,4.38,,,4.64,How good a leader (on a 10-point scale) is…,,,,,,
,Jun,10-17,10/6/09,23,Harris,Metro,35.0,,,,,20.0,,,,,16.0,,,,,15.0,,Internet,Others 29%,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,11-12,11/6/09,14,YouGov,ST,40.0,3.0,36,44,-8,24.0,3.0,25,22,3,18.0,-1.0,20,16,4,16.0,0.0,Internet,,,,,,,,,,,,58.0,33.0,25.0,23.0,74.0,-51.0,47.0,29.0,18.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Jun,12-14,16/6/09,16,ICM,GU,39.0,-1.0,,,,27.0,5.0,,,,18.0,-7.0,,,,12.0,-6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,12-14,12/6/09,16,MORI,Unison,39.0,-1.0,37,40,-3,25.0,7.0,25,25,0,19.0,1.0,21,17,4,14.0,-8.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,17-18,17/6/09,21,ComRes,IoS,39.0,1.0,39,39,0,22.0,0.0,20,24,-4,18.0,-2.0,17,19,-2,17.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,19-21,19/6/09,23,MORI,,38.0,-1.0,38,39,-1,21.0,-4.0,25,17,8,19.0,0.0,15,23,-8,17.0,3.0,Phone,Certain to vote,,,,,,,,,,,45.0,37.0,8.0,27.0,66.0,-39.0,39.0,29.0,10.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Jun,23-25,23/6/09,26,YouGov,DT,38.0,-2.0,37,39,-2,25.0,1.0,27,24,3,18.0,0.0,18,19,-1,13.0,-3.0,Internet,,,,,,,,,,,,49.0,30.0,19.0,19.0,71.0,-52.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Jun,24-26,24/6/09,28,YouGov,People,40.0,2.0,38,42,-4,24.0,-1.0,26,22,4,17.0,-1.0,18,17,1,16.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,26-28,26/6/09,30,ComRes,Ind,36.0,-3.0,37,34,3,25.0,3.0,26,23,3,19.0,1.0,18,20,-2,11.0,-6.0,Phone,Change in methodology - change in past voting weightings to similar to ICM,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,1-3,1/7/09,,YouGov,Fabians,39.0,-1.0,36,41,-5,26.0,2.0,27,25,2,19.0,2.0,21,16,5,13.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,10-11,10/7/09,14,ICM,GU,41.0,2.0,,,,27.0,0.0,,,,20.0,2.0,,,,14.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,15-16,15/7/09,19,ComRes,IoS,38.0,2.0,41,36,5,23.0,-2.0,19,27,-8,22.0,3.0,22,22,0,15.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,16-17,16/7/09,18,YouGov,ST,42.0,3.0,41,43,-2,25.0,-1.0,25,25,0,18.0,-1.0,20,16,4,17.0,4.0,Internet,,,,,,,,,,,,57.0,31.0,26.0,24.0,71.0,-47.0,44.0,27.0,17.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Jul,17-19,17/7/09,21,Populus,TT,38.0,2.0,,,,26.0,2.0,,,,20.0,1.0,,,,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,17-19,17/7/09,21,MORI,,40.0,2.0,34,47,-13,24.0,3.0,24,24,0,18.0,-1.0,21,14,7,16.0,-1.0,Phone,Certain to vote,,,,,,,,,,,46.0,37.0,9.0,26.0,68.0,-42.0,44.0,28.0,16.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Jul,21-23,21/7/09,26,YouGov,People,40.0,-2.0,38,42,-4,25.0,0.0,26,24,2,20.0,2.0,18,21,-3,15.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,24-25,24/7/09,29,ComRes,Ind,42.0,4.0,40,44,-4,24.0,1.0,23,24,-1,18.0,-4.0,20,16,4,18.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,28-30,28/7/09,31,YouGov,DT,41.0,1.0,37,44,-7,27.0,2.0,29,25,4,18.0,-2.0,18,18,0,14.0,-1.0,Internet,,,,,,,,,,,,52.0,28.0,24.0,19.0,72.0,-53.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Aug,12-13,12/8/09,16,ICM,SMirror,43.0,2.0,,,,26.0,-1.0,,,,19.0,-1.0,,,,17.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,13-14,13/8/09,16,YouGov,ST,42.0,1.0,39,45,-6,28.0,1.0,29,26,3,18.0,0.0,19,17,2,14.0,0.0,Internet,,,,,,,,,,,,55.0,35.0,20.0,26.0,70.0,-44.0,41.0,29.0,12.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Aug,19-20,19/8/09,23,ComRes,IoS,41.0,-1.0,41,42,-1,24.0,0.0,22,27,-5,18.0,0.0,18,18,0,17.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,20-21,20/8/09,23,BPIX,MoS,36.0,,,,,24.0,,,,,17.0,,,,,12.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,21-23,21/8/09,25,ICM,GU,41.0,-2.0,,,,25.0,-1.0,,,,19.0,0.0,,,,16.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,21-23,21/8/09,31,MORI,OB,43.0,3.0,41,45,-4,26.0,2.0,30,22,8,17.0,-1.0,15,20,-5,17.0,1.0,Phone,Certain to vote,,,,,,,,,,,47.0,38.0,9.0,28.0,65.0,-37.0,42.0,26.0,16.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Aug,25-27,25/8/09,25,YouGov,DT,42.0,0.0,40,44,-4,26.0,-2.0,29,24,5,18.0,0.0,18,18,0,16.0,3.0,Internet,,,,,,,,,,,,51.0,31.0,20.0,19.0,71.0,-52.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Aug,27-28,27/8/09,3,YouGov,Sun,42.0,0.0,40,44,-4,28.0,2.0,27,28,-1,17.0,-1.0,18,15,3,14.0,-2.0,Internet,,,,,,,,,,,,42.0,23.0,19.0,16.0,61.0,-45.0,24.0,19.0,5.0,Is (name) is doing well or badly as (position)?,,,,,,
,Sep,4,4/9/09,,Opinium,,37.0,,,,,28.0,,,,,15.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,4-6,4/9/09,7,YouGov,DT,40.0,-2.0,37,43,-6,27.0,-1.0,26,28,-2,18.0,1.0,19,16,3,13.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,4-6,4/9/09,8,ComRes,Ind,40.0,-1.0,41,38,3,24.0,0.0,24,24,0,21.0,3.0,20,21,-1,16.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,10-11,10/9/09,13,YouGov,ST,41.0,1.0,40,42,-2,27.0,0.0,29,26,3,17.0,-1.0,16,18,-2,14.0,1.0,Internet,,,,,,,,,,,,59.0,31.0,28.0,26.0,70.0,-44.0,44.0,27.0,17.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Sep,11,11/9/10,,Opinium,,41.0,4.0,,,,27.0,-1.0,,,,15.0,0.0,,,,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,11-13,11/9/09,15,Populus,TT,41.0,3.0,,,,27.0,1.0,,,,18.0,-2.0,,,,14.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,18,18/9/10,,Opinium,,42.0,1.0,,,,28.0,1.0,,,,18.0,3.0,,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,18-20,18/9/09,21,ICM,GU,43.0,2.0,,,,26.0,1.0,,,,19.0,0.0,,,,17.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,20-21,20/9/09,21,YouGov,Sky,39.0,,39,39,0,30.0,,30,30,0,17.0,,18,17,1,9.0,,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,,,,28.0,68.0,-40.0,42.0,31.0,11.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Sep,21-22,21/9/09,22,YouGov,Sky,39.0,0.0,39,39,0,27.0,-3.0,27,28,-1,20.0,3.0,21,19,2,12.0,3.0,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,22-23,22/9/09,23,YouGov,Sky,38.0,-1.0,36,40,-4,28.0,1.0,31,25,6,19.0,-1.0,17,21,-4,10.0,-2.0,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,22-24,22/9/09,26,YouGov,DT,39.0,-2.0,36,43,-7,26.0,-1.0,28,24,4,20.0,3.0,20,20,0,13.0,-1.0,Internet,,,,,,,,,,,,52.0,30.0,22.0,20.0,71.0,-51.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Sep,23-24,23/9/09,24,YouGov,Sky,38.0,0.0,34,42,-8,25.0,-3.0,28,22,6,23.0,4.0,23,23,0,13.0,3.0,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,23-24,23/9/09,27,ICM,NOTW,40.0,-3.0,,,,26.0,0.0,,,,23.0,4.0,,,,14.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,24-25,24/9/09,25,YouGov,Sky,40.0,2.0,38,43,-5,24.0,-1.0,22,27,-5,21.0,-2.0,24,19,5,16.0,3.0,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,,,,,,,54.0,21.0,33.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Sep,25,25/9/10,,Opinium,,40.0,-2.0,,,,26.0,-2.0,,,,18.0,0.0,,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,24-25,24/9/09,27,BPIX,MoS,40.0,4.0,,,,25.0,1.0,,,,22.0,5.0,,,,15.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,25-27,25/9/09,28,ComRes,Ind,38.0,-2.0,42,35,7,23.0,-1.0,22,25,-3,23.0,2.0,18,27,-9,15.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,25-27,25/9/09,,MORI,,36.0,-7.0,35,37,-2,24.0,-2.0,25,24,1,25.0,8.0,24,27,-3,12.0,-5.0,Phone,Certain to vote,,,,,,,,,,,45.0,39.0,6.0,29.0,65.0,-36.0,48.0,27.0,21.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Sep,27-28,27/9/09,28,YouGov,Sky,39.0,-1.0,35,43,-8,29.0,5.0,32,25,7,20.0,-1.0,22,18,4,10.0,-6.0,Internet,"Daily YouGov series: smaller sample, different selection technique",,,,,,,,,,,56.0,34.0,22.0,29.0,66.0,-37.0,44.0,21.0,23.0,Do you think (name) is doing well or badly as (position)?,,,,,,
