Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Sep,21-22,21/9/06,24,YouGov,ST,37.0,-1.0,34,39,-5,33.0,2.0,34,31,3,18.0,0.0,18,19,-1,4.0,-3.0,Internet,,,,,,,,,,,,49.0,33.0,16.0,31.0,65.0,-34.0,30.0,44.0,-14.0,Do you think (name) is doing well or badly as (position)?,, ,18.0, , , 
,Sep,27-29,27/9/06,30,YouGov,DT,36.0,-1.0,35,36,-1,36.0,3.0,37,36,1,16.0,-2.0,16,16,0,0.0,-4.0,Internet,,,,,,,,,,,,35.0,27.0,8.0,25.0,64.0,-39.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Sep,28-30,28/9/06,31,ICM,SMirror,36.0,0.0,,,,35.0,3.0,,,,19.0,-3.0,,,,1.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,19.0, , 
,Oct,4-5,4/10/06,8,ICM,STel,38.0,2.0,,,,32.0,-3.0,,,,20.0,1.0,,,,6.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Oct,6-8,6/10/06,10,Populus,TT,36.0,0.0,,,,35.0,3.0,,,,18.0,-2.0,,,,1.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,18.0, 
,Oct,12-16,12/10/06,23,MORI,FT,35.0,0.0,,,,37.0,1.0,,,,18.0,-1.0,,,,-2.0,-1.0,F2F,Certain to vote,,,,,,,,,,,31.0,32.0,-1.0,32.0,60.0,-28.0,22.0,31.0,-9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,18.0, , , , 
,Oct,20-22,20/10/06,24,ComRes,IoS,38.0,,39,37,2,32.0,,29,34,-5,14.0,,14,15,-1,6.0,,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,14.0
,Oct,20-22,20/10/06,25,ICM,GU,39.0,1.0,,,,29.0,-3.0,,,,22.0,2.0,,,,10.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,22.0, , 
,Oct,24-26,24/10/06,27,YouGov,DT,39.0,3.0,37,42,-5,32.0,-4.0,33,31,2,16.0,0.0,16,15,1,7.0,7.0,Internet,,,,,,,,,,,,42.0,28.0,14.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Nov,3-5,3/11/06,7,Populus,TT,36.0,0.0,,,,33.0,-2.0,,,,20.0,2.0,,,,3.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,20.0, 
