,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
,N,18.2,67.8,-49.6,28.4,63.2,-34.8,21.2,60.5,22.7,37.8,38.8,56.5,21.4,35.1,12.9,26.7,44.1,-17.4,,,,,,,,,,,,,
,D,19.3,67.8,-48.5,29.7,62.3,-32.6,23.7,56.5,26.7,29.8,36.0,54.6,23.8,30.8,13.8,29.3,40.6,-11.3,,Methodology change,,,,,,,,,,,
1997,J,24.0,65.2,-41.2,34.1,60.0,-25.9,28.2,61.7,26.4,35.3,38.6,60.8,22.5,38.3,14.2,36.3,44.6,-8.3,,,,,,,,,,,,,
,F,25.5,63.3,-37.8,34.9,59.0,-24.1,28.1,64.1,24.5,39.6,38.9,62.3,21.7,40.6,13.3,38.2,47.1,-8.9,,,,,,,,,,,,,
,M,25.5,64.0,-38.5,33.3,60.7,-27.4,24.6,68.3,20.5,47.8,41.2,64.0,20.9,43.1,12.4,35.3,49.0,-13.7,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,38.5,48.0,-9.5,,,,,,,,,,,,,
,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
Major,M,76.0,13.1,62.9,,,,36.7,,,,26.6,,,,14.0,27.5,58.2,-30.7,78.1,10.6,67.5,-4.6,,,,,,,,,
Hague,J,71.7,13.3,58.4,,,,62.2,,,,10.1,,,,13.4,33.6,54.2,-20.6,74.4,14.8,59.6,-1.2,,,,,,,,,
,J,67.6,21.8,45.8,,,,60.7,,,,10.5,,,,14.9,30.3,57.8,-27.5,67.9,25.5,42.4,3.4,,,,,,,,,
,A,63.4,27.0,36.4,,,,58.7,,,,11.4,,,,15.0,32.7,54.7,-22.0,65.3,28.6,36.7,-0.3,,,,,,,,,
,S,77.1,17.5,59.6,83.0,,,63.4,,,,12.2,,,,13.2,26.9,60.7,-33.8,71.2,21.7,49.5,10.1,,,,,,,,,
,O,69.6,19.9,49.7,78.0,,,66.8,25.0,58.0,-33.0,8.3,,,,11.1,27.0,60.9,-33.9,70.3,23.2,47.1,2.6,,,,,,,,,
,N,61.0,27.4,33.6,74.0,,,60.1,24.0,,,8.2,79.0,,,15.4,27.9,57.5,-29.6,62.0,31.7,30.3,3.3,,,,,,,,,
,D,54.3,35.6,18.7,,,,58.6,31.0,55.0,-24.0,8.4,,,,16.0,29.2,54.9,-25.7,55.0,39.0,16.0,2.7,,,,,,,,,
1998,J,52.5,37.6,14.9,66.0,31.0,35.0,55.7,31.0,55.0,-24.0,10.7,,,,19.4,33.0,52.3,-19.3,54.3,40.4,13.9,1.0,,,,,,,,,
,F,52.4,38.5,13.9,62.0,32.0,30.0,55.1,31.0,50.0,-19.0,11.4,,,,18.9,33.3,52.8,-19.5,53.0,42.4,10.6,3.3,,,,,,,,,
,M,46.8,40.9,5.9,69.0,27.0,42.0,50.9,38.0,49.0,-11.0,12.9,,,,20.0,32.5,49.8,-17.3,48.6,45.3,3.3,2.6,,,,,,,,,
,A,54.9,34.0,20.9,72.0,25.0,47.0,55.0,29.0,56.0,-27.0,12.0,,,,17.4,31.6,52.3,-20.7,54.7,39.9,14.8,6.1,,,,,,,,,
,M,61.2,29.0,32.2,70.0,26.0,44.0,59.5,33.0,52.0,-19.0,10.5,,,,15.9,30.9,54.8,-23.9,58.6,36.8,21.8,10.4,,,,,,,,,
,J,54.8,36.9,17.9,68.0,28.0,40.0,58.6,29.0,58.0,-29.0,12.2,,,,15.3,32.2,53.2,-21.0,55.0,40.6,14.4,3.5,,,,,,,,,
,J,55.0,36.9,18.1,,,,56.6,29.0,57.0,-28.0,11.7,,,,17.9,33.8,52.6,-18.8,54.7,40.9,13.8,4.3,,,,,,,,,
