Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,CUK good,CUK bad,CUK net,BXP good,BXP bad,BXP net,Question,Con Best PM,Lab Best PM,LD Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,
,Dec,4-5,4/12/17,8,,YouGov,TT,40.0,1.0,41.0,0.0,7.0,0.0,3.0,-1.0,2.0,-1.0,,,,,-1.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,30.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Dec,5-8,5/12/17,13,,BMG,Ind,37.0,-3.0,40.0,-1.0,9.0,1.0,5.0,1.0,3.0,0.0,,,,,-3.0,-2.0,Internet,,,,30.0,56.0,-26.0,35.0,44.0,-9.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,28.0,29.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Dec,8-10,8/12/17,12,,ICM,Gu,42.0,2.0,40.0,-1.0,8.0,0.0,5.0,1.0,2.0,-1.0,,,,,2.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,8-13,8/12/17,,,Sky,,,,,,,,,,,,,,,,,,Internet,,,,36.0,59.0,-23.0,44.0,49.0,-5.0,24.0,45.0,-21.0,,,,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,
,Dec,10-11,10/12/17,12,,YouGov,TT,42.0,2.0,41.0,0.0,7.0,0.0,4.0,1.0,2.0,0.0,,,,,1.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,28.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Dec,12-14,12/12/17,17,,Opinium,Ob,39.0,-1.0,41.0,-1.0,7.0,1.0,6.0,1.0,2.0,0.0,,,,,-2.0,0.0,Internet,,,,33.0,45.0,-12.0,35.0,39.0,-4.0,15.0,32.0,-17.0,7.0,39.0,-32.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,34.0,28.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Dec,12-14,12/12/17,17,,ICM ,SoS,41.0,-1.0,42.0,2.0,7.0,-1.0,4.0,-1.0,3.0,1.0,,,,,-1.0,-3.0,Internet,,,,35.0,50.0,-15.0,40.0,42.0,-2.0,16.0,34.0,-18.0,,,,,,,,,,,,,"From what you have seen or heard, do you think (title) X is doing a good job or a bad job?",,,,,,,,,,,,,,,,
,Dec,19-20,19/12/17,1,,YouGov,TT,40.0,-2.0,42.0,1.0,7.0,0.0,4.0,0.0,1.0,-1.0,,,,,-2.0,-3.0,Internet,,,,37.0,51.0,-14.0,45.0,37.0,8.0,19.0,29.0,-10.0,,,,,,,,,,,,,Do you think X is doing well or badly as Y?,37.0,31.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
2018,Jan,7-8,7/1/18,11,,YouGov,TT,40.0,0.0,41.0,-1.0,9.0,2.0,3.0,-1.0,2.0,1.0,,,,,-1.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,31.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Jan,9-12,9/1/18,,,BMG,Ind,40.0,3.0,41.0,1.0,8.0,-1.0,4.0,-1.0,2.0,-1.0,,,,,-1.0,2.0,Internet,,,,32.0,53.0,-21.0,35.0,41.0,-6.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,28.0,29.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
